cont_id,part_id,cnt_age_exact,cnt_age_est_min,cnt_age_est_max,cnt_gender,cnt_home,cnt_work,cnt_school,cnt_transport,cnt_leisure,cnt_otherplace,frequency_multi,phys_contact,duration_multi,cnt_otherplace_family,cnt_otherplace_grandparents,cnt_hh_member
2790512,27905,14,,,M,false,false,true,false,false,false,1,2,4,false,false,N
2790513,27905,14,,,M,false,false,true,false,false,false,1,2,4,false,false,N
2790514,27905,14,,,M,false,false,true,false,false,false,1,1,4,false,false,N
2790515,27905,,20,25,M,false,false,true,false,false,false,1,2,3,false,false,N
2790516,27905,,45,50,M,false,false,true,false,false,false,1,2,3,false,false,N
2790517,27905,,38,43,M,false,false,false,true,false,false,3,2,2,false,false,N
2790518,27905,47,,,F,true,false,false,false,false,false,1,1,5,false,false,Y
2790519,27905,72,,,M,true,false,false,false,false,false,3,1,,false,false,N
2790520,27905,13,,,F,false,false,false,true,true,false,2,2,4,false,false,N
2790521,27905,,40,45,F,false,false,false,true,false,false,2,2,2,false,false,N
2790522,27905,14,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790523,27905,14,,,F,false,false,false,false,true,false,2,1,4,false,false,N
2790524,27905,,18,21,M,false,false,false,false,true,false,3,2,3,false,false,N
2790525,27905,14,,,F,false,false,false,false,true,false,2,2,5,false,false,N
2790526,27905,14,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790527,27905,13,,,F,false,false,false,false,true,false,2,1,4,false,false,N
2790528,27905,14,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790529,27905,13,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790530,27905,14,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790531,27905,14,,,F,false,false,false,false,true,false,2,2,4,false,false,N
2790532,27905,14,,,F,false,false,false,false,true,false,2,1,4,false,false,N
2790533,27905,,35,45,M,false,false,false,false,true,false,3,2,4,false,false,N
2790534,27905,18,,,M,true,false,false,false,false,false,1,1,4,false,false,N
2790535,27905,39,,,M,true,false,false,false,false,false,4,2,1,false,false,N
2790536,27905,70,,,M,false,false,false,false,true,false,3,2,4,false,false,N
2950101,29501,42,,,M,true,false,false,true,false,false,1,1,4,false,false,Y
2950102,29501,34,,,F,true,false,false,false,false,false,1,1,4,false,false,Y
2950103,29501,45,,,F,false,false,true,false,false,false,2,1,5,false,false,N
2950104,29501,27,,,F,false,false,true,false,false,false,2,1,5,false,false,N
2950105,29501,47,,,F,false,false,true,false,false,false,2,1,5,false,false,N
2950106,29501,1,,,F,false,false,true,false,false,false,2,1,5,false,false,N
2950107,29501,1,,,M,false,false,true,false,false,false,2,1,5,false,false,N
2950108,29501,2,,,M,true,false,false,false,false,false,5,2,2,false,false,Y
2950109,29501,2,,,M,true,false,false,false,false,false,5,2,2,false,false,Y
2950110,29501,6,,,F,true,false,false,false,false,false,1,1,4,false,false,Y
